,144
Attribute,sourceMatID
Description,"Source material identifiers. A unique identifier assigned to a material sample (as defined by http-//rs.tdwg.org/dwc/terms/materialSampleID and as opposed to a particular digital record of a material sample) used for extracting nucleic acids, and subsequent sequencing.The identifier can refer to the original material collected or any derived sub-samples. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified"
Valid Values,
DependsOn,
DependsOn Component,
Required,True
Parent,ManifestColumn
Validation Rules,
Properties,ManifestColumn
Source,
module,ManifestColumn
multivalue,False
columnType,STRING
Ontology,MIMS (Minimum information about a metagenome sequence.
Notes, https://pubmed.ncbi.nlm.nih.gov/18479204/
UsedIn,Metagenomics
